Quantify Compound Summary Report 

Printed Wed Feb 02 11:09:36 2022

Compound 1:  GLY_FOMC_qn

	#	Name	Sample Text	RT	Area
135	135	U1_201211_135	20200813_S_7-GLY	4.23	252
136	136	U1_201211_136	20200813_S_8_12-GLY	4.24	451
137	137	U1_201211_137	20200816_S_1-GLY	4.24	3279
138	138	U1_201211_138	20200816_S_2-GLY	4.23	995
139	139	U1_201211_139	20200816_S_3-GLY	4.24	617
140	140	U1_201211_140	20200816_S_4-GLY	4.23	796
141	141	U1_201211_141	20200816_S_5-GLY	4.24	680
142	142	U1_201211_142	Blank	4.21	1
143	143	U1_201211_143	Sta 0.1 µg/ml	4.23	5271
144	144	U1_201211_144	Blank	3.99	10
145	145	U1_201211_145	20201008_S_1_12-GLY	4.23	4531
146	146	U1_201211_146	20201023_S_1_2-GLY	4.23	2498
147	147	U1_201211_147	20201023_S_3-GLY	4.23	1026
148	148	U1_201211_148	20201023_S_4-GLY	4.23	1011
149	149	U1_201211_149	20201023_S_5-GLY	4.23	1010
150	150	U1_201211_150	20201023_S_6-GLY	4.23	1323
151	151	U1_201211_151	20201023_S_7-GLY	4.23	1775
152	152	U1_201211_152	20201023_S_8-GLY	4.23	1583
153	153	U1_201211_153	GLY-RS-QC1 0.2	4.22	755
154	154	U1_201211_154	GLY-RS-QC2 0.5	4.24	1312
155	155	U1_201211_155	Blank	3.88	4
156	156	U1_201211_156	Sta 0.1 µg/ml	4.23	4122
157	157	U1_201211_157	Blank	3.91	1
158	158	U1_201211_158	Sta Blank	3.82	11
159	159	U1_201211_159	Sta 0.005 µg/ml	4.25	274
160	160	U1_201211_160	Sta 0.01 µg/ml	4.23	342
161	161	U1_201211_161	Sta 0.02 µg/ml	4.23	877
162	162	U1_201211_162	Sta 0.05 µg/ml	4.23	2199
163	163	U1_201211_163	Sta 0.1 µg/ml	4.24	3856
164	164	U1_201211_164	Sta 0.2 µg/ml	4.24	8592
165	165	U1_201211_165	Sta 0.5 µg/ml	4.23	21303
166	166	U1_201211_166	Sta 1 µg/ml	4.23	48960
167	167	U1_201211_167	Sta 2 µg/ml	4.23	108572
168	168	U1_201211_168	Blank	4.04	7
169	169	U1_201211_169	Sta 0.1 µg/ml	4.23	4777
170	170	U1_201211_170	Blank	3.97	1
171	171	U1_201211_171	Blank	3.98	12

Compound 3:  GLY_FMOC_IS

	#	Name	Sample Text	RT	Area
1	1	U1_201211_001	Sta 0.1µg/ml	4.28	15418
2	2	U1_201211_002	Sta 0.1µg/ml	4.25	16223
3	3	U1_201211_003	Blank	3.97	11
4	4	U1_201211_004	Sta 0 µg/ml	4.25	15560
5	5	U1_201211_005	Sta 0.005µg/ml	4.25	15042
6	6	U1_201211_006	Sta 0.01µg/ml	4.25	12640
7	7	U1_201211_007	Sta 0.02µg/ml	4.25	12863
8	8	U1_201211_008	Sta 0.05µg/ml	4.25	13440
9	9	U1_201211_009	Sta 0.1µg/ml	4.25	15182
10	10	U1_201211_010	Sta 0.2µg/ml	4.25	14613
11	11	U1_201211_011	Sta 0.5µg/ml	4.24	16020
12	12	U1_201211_012	Sta 1 µg/ml	4.24	16185
13	13	U1_201211_013	Sta 2 µg/ml	4.24	20438
14	14	U1_201211_014	Blank	3.98	12
15	15	U1_201211_015	Sta 0.1 µg/ml	4.25	15625
16	16	U1_201211_016	Blank	4.30	6
17	17	U1_201211_017	XY-BLANK	4.25	7204
18	18	U1_201211_018	XY-0.5 Spiked	4.24	14130
19	19	U1_201211_019	Blank	4.13	44
20	20	U1_201211_020	GLY-QC1 - 0.2	4.24	47
21	21	U1_201211_021	GLY-QC2 - 0.5	4.24	9286
22	22	U1_201211_022	GLY-QC3 - 1	4.24	4873
23	23	U1_201211_023	Blank	4.07	11
24	24	U1_201211_024	Sta 0.1 µg/ml	4.24	14376
25	25	U1_201211_025	Blank	3.99	6
26	26	U1_201211_026	20190528_W_1-GLY	4.24	15010
27	27	U1_201211_027	20190528_W_2-GLY	4.24	14617
28	28	U1_201211_028	20190528_W_3-GLY	4.24	14834
29	29	U1_201211_029	20190528_W_4-GLY	4.24	15061
30	30	U1_201211_030	20190528_W_5-GLY	4.24	15522
31	31	U1_201211_031	20190528_W_6-GLY	4.24	15245
32	32	U1_201211_032	20190528_W_7-GLY	4.24	14419
33	33	U1_201211_033	20190528_W_8_12-GLY	4.24	15290
34	34	U1_201211_034	Blank	4.03	3
35	35	U1_201211_035	Sta 0.1 µg/ml	4.24	14382
36	36	U1_201211_036	Blank	3.93	8
37	37	U1_201211_037	20190818_W_1-GLY	4.24	14725
38	38	U1_201211_038	20190818_W_2-GLY	4.24	15048
39	39	U1_201211_039	20190818_W_3-GLY	4.25	13788
40	40	U1_201211_040	20190818_W_4-GLY	4.24	14749
41	41	U1_201211_041	20190818_W_5-GLY	4.24	14087
42	42	U1_201211_042	20190818_W_6-GLY	4.24	15265
43	43	U1_201211_043	20190818_W_7-GLY	4.24	14796
44	44	U1_201211_044	20190818_W_8_9-GLY	4.24	14725
45	45	U1_201211_045	20190818_W_10_12-GLY	4.24	14419
46	46	U1_201211_046	Blank	3.99	10
47	47	U1_201211_047	Sta 0.1 µg/ml	4.24	14078
48	48	U1_201211_048	Blank	3.96	7
49	49	U1_201211_049	20200617_W_1_4-GLY	4.24	14923
50	50	U1_201211_050	20200617_W_5-GLY	4.24	15015
51	51	U1_201211_051	20200617_W_6-GLY	4.24	14368
52	52	U1_201211_052	20200617_W_7-GLY	4.24	13941
53	53	U1_201211_053	20200617_W_8_9-GLY	4.25	15246
54	54	U1_201211_054	20200617_W_10_12-GLY	4.24	15800
55	55	U1_201211_055	20200813_W_1_2-GLY	4.24	14870
56	56	U1_201211_056	20200813_W_3-GLY	4.24	14362
57	57	U1_201211_057	20200813_W_4-GLY	4.24	16010
58	58	U1_201211_058	Blank	4.06	14
59	59	U1_201211_059	Sta 0.1 µg/ml	4.24	15454
60	60	U1_201211_060	Blank	4.03	4
61	61	U1_201211_061	20200813_W_5-GLY	4.24	15859
62	62	U1_201211_062	20200813_W_6-GLY	4.24	15510
63	63	U1_201211_063	20200813_W_7-GLY	4.24	15470
64	64	U1_201211_064	20200813_W_8_12-GLY	4.24	15250
65	65	U1_201211_065	20200816_W_1-GLY	4.24	15265
66	66	U1_201211_066	20200816_W_2-GLY	4.24	14483
67	67	U1_201211_067	20200816_W_3-GLY	4.24	14318
68	68	U1_201211_068	20200816_W_4-GLY	4.24	14730
69	69	U1_201211_069	20200816_W_5-GLY	4.24	14964
70	70	U1_201211_070	Blank	3.96	8
71	71	U1_201211_071	Sta 0.1 µg/ml	4.24	15199
72	72	U1_201211_072	Blank	3.91	17
73	73	U1_201211_073	Sta Blank	4.24	15362
74	74	U1_201211_074	Sta 0.005 µg/ml	4.24	15706
75	75	U1_201211_075	Sta 0.01 µg/ml	4.24	12782
76	76	U1_201211_076	Sta 0.02 µg/ml	4.24	15158
77	77	U1_201211_077	Sta 0.05 µg/ml	4.24	13967
78	78	U1_201211_078	Sta 0.1 µg/ml	4.24	15858
79	79	U1_201211_079	Sta 0.2 µg/ml	4.24	15988
80	80	U1_201211_080	Sta 0.5 µg/ml	4.24	17580
81	81	U1_201211_081	Sta 1 µg/ml	4.23	17546
82	82	U1_201211_082	Sta 2 µg/ml	4.23	20829
83	83	U1_201211_083	Blank	3.99	8
84	84	U1_201211_084	Sta 0.1 µg/ml	4.24	14998
85	85	U1_201211_085	Blank	4.26	3
86	86	U1_201211_086	20201008_W_1_12-GLY	4.24	15667
87	87	U1_201211_087	20201023_W_1_2-GLY	4.24	15443
88	88	U1_201211_088	20201023_W_3-GLY	4.24	16028
89	89	U1_201211_089	20201023_W_4-GLY	4.24	16042
90	90	U1_201211_090	20201023_W_5-GLY	4.24	15417
91	91	U1_201211_091	20201023_W_6-GLY	4.24	15816
92	92	U1_201211_092	20201023_W_7-GLY	4.24	14961
93	93	U1_201211_093	20201023_W_8-GLY	4.24	15319
94	94	U1_201211_094	20201023_W_9_12-GLY	4.24	15648
95	95	U1_201211_095	Blank	3.95	9
96	96	U1_201211_096	Sta 0.1 µg/ml	4.23	16922
97	97	U1_201211_097	Blank	3.96	6
