Quantify Compound Summary Report 																					
																					
Printed Tue Jul 28 19:12:31 2020																					
																					
Compound 1:  13C-Caffeine																					
																					
	Name	Sample Text	RT	Area		1? Area															
39	TQS3_200727_042	33F_spike	5.92	118957.234		99211.461															
40	TQS3_200727_043	34D	5.93	3958.747		3286.223															
41	TQS3_200727_044	34I	5.92	60285.434		50423.012															
42	TQS3_200727_045	35A	5.93	4326.92		3622.578															
43	TQS3_200727_046	35F	5.92	3952.93		3231.588															
44	TQS3_200727_047	Std Mx B 5ng/mL	5.92	158536.938		133528.594															
45	TQS3_200727_048	35H	5.93	4778.635		4021.547															
46	TQS3_200727_049	35J	5.92	61761.742		50991.66															
47	TQS3_200727_050	36D	5.92	85121.188		71156.008															
48	TQS3_200727_051	36G	5.92	3375.332		2933.009															
49	TQS3_200727_052	36I	5.92	4171.591		3373.67															
50	TQS3_200727_053	38B	5.92	53721.93		44142.293															
51	TQS3_200727_054	38I	5.92	73977.711		62082.012															
52	TQS3_200727_055	39A	5.92	82344.555		67569.578															
53	TQS3_200727_056	39H	5.92	5623.202		4883.011															
54	TQS3_200727_057	39J	5.92	89629.898		74083.961															
55	TQS3_200727_058	Std Mx B 5ng/mL	5.92	169734.328		139911.188															
56	TQS3_200727_059	41E	5.93	3173.609		2613.857															
57	TQS3_200727_060	41F	5.92	81537.047		68357.094															
58	TQS3_200727_061	41H	5.92	3628.603		2889.365															
59	TQS3_200727_062	41J	5.93	3684.45		3036.017															
60	TQS3_200727_063	42B	5.93	4366.631		3775.104															
61	TQS3_200727_064	42B_b	5.92	4035.973		3484.871															
62	TQS3_200727_065	44G	5.93	3707.827		2966.519															
63	TQS3_200727_066	45F	5.92	4269.428		3480.599															
64	TQS3_200727_067	45J	5.92	41869.555		35235.371															
65	TQS3_200727_068	46I	5.92	157509.578		130948.508															
66	TQS3_200727_069	Std Mx B 5ng/mL	5.93	166648.297		138732.188															
67	TQS3_200727_070	47E	5.92	3598.075		3147.251															
68	TQS3_200727_071	47F	5.93	68352.227		57274.766															
69	TQS3_200727_072	47H	5.92	3921.284		3203.522															
70	TQS3_200727_073	48B	5.93	3917.31		3158.131															
71	TQS3_200727_074	48G	5.93	5071.571		4181.46															
72	TQS3_200727_075	48I	5.92	5954.109		5076.22															
73	TQS3_200727_076	1H	5.93	4563.728		4191.528															
74	TQS3_200727_077	3A	5.92	4258.957		3622.777															
75	TQS3_200727_078	3A_b	5.93	4718.524		4030.821															
76	TQS3_200727_079	3F	5.92	163155.375		136575.766															
77	TQS3_200727_080	Std Mx B 5ng/mL	5.92	156923.781		131554.563															
78	TQS3_200727_081	3F_spike	5.92	193832.156		162671.328															
79	TQS3_200727_082	3J	5.93	87872.727		74776.969															
80	TQS3_200727_083	5E	5.92	44023.023		37170.703															
81	TQS3_200727_084	5F	5.93	85975.805		71626.32															
82	TQS3_200727_085	8D	5.92	6731.036		5695.282															
83	TQS3_200727_086	8D_spike	5.92	47099.852		39308.105															
84	TQS3_200727_087	8G	5.92	5799.397		5254.406															
85	TQS3_200727_088	8I	5.92	89176.195		75247.063															
86	TQS3_200727_089	12B	5.93	4382.054		3870.85															
87	TQS3_200727_090	12I	5.92	4949.708		4296.522															
88	TQS3_200727_091	Std Mx B 5ng/mL	5.92	172177.656		144797.953															
89	TQS3_200727_092	13C	5.92	4718.101		3918.914															
90	TQS3_200727_093	13C_spike	5.92	48797.012		40841.191															
91	TQS3_200727_094	14B	5.92	5771.445		4899.983															
92	TQS3_200727_095	14D	5.93	122414.703		102817.891															
93	TQS3_200727_096	14G	5.92	57013.625		47832.859															
94	TQS3_200727_097	14G_b	5.93	66804.352		56317.809															
95	TQS3_200727_098	14I	5.93	6261.11		5404.674															
96	TQS3_200727_099	16D	5.93	125802.859		104918.25															
97	TQS3_200727_100	16I	5.93	58868.383		49272.734															
98	TQS3_200727_101	17E	5.93	4077.624		3716.48															
99	TQS3_200727_102	Std Mx B 5ng/mL	5.93	160536.063		134889.813															
100	TQS3_200727_103	17F	5.93	6215.702		5479.368															
101	TQS3_200727_104	20G	5.93	80744.227		67000.031															
102	TQS3_200727_105	21A	5.93	5153.86		4407.46															
103	TQS3_200727_106	21F	5.93	7466.237		6071.701															
104	TQS3_200727_107	21F_spike	5.92	46862.379		39510.797															
105	TQS3_200727_108	21J	5.93	141991.969		119603.109															
106	TQS3_200727_109	Std Mx B 5ng/mL	5.93	174595.266		144364.172															
107	TQS3_200727_110	mq H2O	5.93	1448.862		1092.351															
